id,proveedor,pais_origen,descripcion,categoria,fecha_orden,fecha_sira,fecha_arribo,fecha_dua,fecha_pago_proveedor,dias_plazo_pago,monto_usd,flete_seguro_usd,monto_cif_usd,tc_aplicado,monto_ars_equivalente,arancel_pct,arancel_ars,tasa_estadistica_ars,iva_importacion_ars,percepcion_arca_ars,costo_total_ars,estado,banco_pago,unidad_negocio,observaciones
11,L'Oréal S.A.,Francia,Cosmética importada premium,cosmetica_importada,2025-06-01,,,,2025-07-01,30,1800000,63000.0,1863000.0,1200.0,2235600000,0.2,447120000,11178000,281685600,67068000,3042651600,en_transito,Banco Galicia y Buenos Aires S.A.,Cosmética,
12,Nestlé Health Science,Suiza,Nutrición clínica especializada,insumos_farmaceuticos,2025-06-15,,,,2025-08-14,60,2200000,77000.0,2277000.0,1200.0,2732400000,0.02,54648000,13662000,292640040,81972000,3175322040,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
13,Medtronic plc,Irlanda,Equipamiento médico implantable,equipamiento_medico,2025-07-01,,,,2025-10-29,120,5400000,189000.0,5589000.0,1200.0,6706800000,0.0,0,33534000,704214000,201204000,7645752000,en_transito,Citibank N.A.,Medicamentos,
14,Teva Pharmaceutical,Israel,Genéricos pediátricos,medicamentos_generales,2025-07-15,,,,2025-10-13,90,3100000,108500.0,3208500.0,1200.0,3850200000,0.02,77004000,19251000,412356420,115506000,4474317420,en_transito,Banco Credicoop Cooperativo Limitado,Medicamentos,
15,Baxter International,EEUU,Fluidos y electrolitos,medicamentos_esenciales,2025-08-01,,,,2025-09-30,60,4500000,157500.0,4657500.0,1200.0,5589000000,0.0,0,27945000,586845000,167670000,6371460000,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
16,Roche Diagnostics GmbH,Suiza,Kits diagnóstico PCR,medicamentos_esenciales,2025-08-15,,,,2025-11-13,90,3300000,115500.0,3415500.0,1200.0,4098600000,0.0,0,20493000,430353000,122958000,4672404000,en_transito,Citibank N.A.,Medicamentos,
17,Sandoz GmbH,Austria,Biosimilares importados,medicamentos_generales,2025-09-01,,,,2025-12-01,90,4100000,143500.0,4243500.0,1200.0,5092200000,0.02,101844000,25461000,545374620,152766000,5917645620,en_transito,Banco Credicoop Cooperativo Limitado,Medicamentos,
18,Fresenius Kabi AG,Alemania,Soluciones oncológicas,medicamentos_esenciales,2025-09-15,,,,2025-11-14,60,5800000,203000.0,6003000.0,1200.0,7203600000,0.0,0,36018000,756378000,216108000,8212104000,en_transito,Citibank N.A.,Medicamentos,
19,Pfizer Inc.,EEUU,Vacunas campaña invierno,medicamentos_esenciales,2025-10-01,,,,2025-12-01,60,7200000,252000.0,7452000.0,1200.0,8942400000,0.0,0,44712000,938952000,268272000,10194336000,en_transito,Citibank N.A.,Medicamentos,
20,Abbott Laboratories,EEUU,Insumos laboratorio clínico,dispositivos_medicos,2025-10-15,,,,2026-01-13,90,2900000,101500.0,3001500.0,1200.0,3601800000,0.06,216108000,18009000,400880340,108054000,4344851340,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
21,MSD International,Irlanda,Oncológicos Q4,medicamentos_esenciales,2025-11-01,,,,2026-01-30,90,7800000,273000.0,8073000.0,1200.0,9687600000,0.0,0,48438000,1017198000,290628000,11043864000,en_transito,Citibank N.A.,Medicamentos,
22,B. Braun Melsungen,Alemania,Material quirúrgico fin de año,dispositivos_medicos,2025-11-15,,,,2026-01-14,60,3400000,119000.0,3519000.0,1200.0,4222800000,0.06,253368000,21114000,469997640,126684000,5093963640,en_transito,Banco Credicoop Cooperativo Limitado,Medicamentos,
23,Nestlé Health Science,Suiza,Stock fin de año nutrición,insumos_farmaceuticos,2025-12-01,,,,2025-12-31,30,2800000,98000.0,2898000.0,1200.0,3477600000,0.02,69552000,17388000,372450960,104328000,4041318960,en_transito,Banco BBVA Argentina S.A.,Medicamentos,
24,Fresenius Kabi AG,Alemania,Pedido extraordinario dic.,medicamentos_generales,2025-12-15,,,,2026-02-13,60,6100000,213500.0,6313500.0,1200.0,7576200000,0.02,151524000,37881000,811411020,227286000,8804302020,en_transito,Citibank N.A.,Medicamentos,
